"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Erev Rosh Hashana","15/9/2023",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5784","16/9/2023",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","17/9/2023",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","18/9/2023",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Shabbat Shuva","23/9/2023",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Erev Yom Kippur","24/9/2023",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","25/9/2023",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","29/9/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","30/9/2023",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II","1/10/2023",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot III (CH''M)","2/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH''M)","3/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH''M)","4/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH''M)","5/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","6/10/2023",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","7/10/2023",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","8/10/2023",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Shabbat Mevarchim Chodesh Cheshvan","14/10/2023",,,,"true","Molad Cheshvan: Sat; 33 minutes and 1 chalakim after 18:00","3",""
"Rosh Chodesh Cheshvan","15/10/2023",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","16/10/2023",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Shabbat Mevarchim Chodesh Kislev","11/11/2023",,,,"true","Molad Kislev: Mon; 17 minutes and 2 chalakim after 7:00","3",""
"Sigd","13/11/2023",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","14/11/2023",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
